,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
teatro,69,63,56,54,56,56,59,52,49,48,48,43,50,44,47,44,55,54,59,69,65,74,77,80,87,82,74,81,81,79,77,80,85,78,83,90,89,83,86,81,78,83,77,78,74,73,69,58,69,76,68,66,69,71,63,67,64,61,62,57,56,49,57,50,49,49,46,43,46,54,53,62,73,74,80,85,85,85,80,87,92,89,85,86,96,83,74,90,100,84,83,86,86,88,86,81,77,80,75,78,84,64,54,64,68,72,64,64,62,63,61,56,53,57,60,55,53,52,52,51,47,53,57,61,69,75,77,79,88,81,79,88,94,84,81,80,94,83,76,91,88,83,85,82,81,79,88,82,78,76,73,71,71,66,71,65,63,70,61,62,61,59,58,53,52,48,54,51,53,50,45,47,46,51,55,65,68,73,77,81,82,82,85,82,88,87,77,84,89,80,79,91,90,82,77,74,81,79,84,73,72,68,73,75,78,73,62,57,58,64,61,61,64,58,58,60,53,52,55,50,45,48,45,46,46,47,48,58,66,76,78,78,82,79,77,83,81,84,81,80,82,83,78,86,85,81,88,84,86,82,85,76,72,71,50,26,31,25,23,24,26
concierto,41,48,46,44,49,59,48,52,51,48,54,55,54,52,51,48,46,53,58,61,52,49,42,46,42,40,33,31,35,37,38,33,39,45,45,66,44,33,32,34,33,34,42,44,43,40,38,30,36,44,40,39,43,51,61,61,57,50,44,42,44,48,45,47,51,52,51,40,44,40,42,44,47,47,44,45,44,39,33,100,40,43,48,36,44,36,38,45,71,37,36,37,50,43,41,37,34,37,39,43,40,42,32,32,34,40,43,47,66,56,55,48,69,75,59,57,70,50,44,44,43,41,39,48,54,50,48,44,41,36,36,33,35,38,34,43,60,43,45,52,83,42,42,40,39,43,37,37,45,49,42,41,36,40,41,49,39,47,50,50,42,51,53,57,66,74,69,62,57,69,59,56,60,50,50,53,59,51,53,46,43,46,40,43,44,47,38,43,55,46,44,64,82,39,33,30,34,36,40,47,38,37,43,47,42,42,43,34,39,54,51,54,47,55,61,64,62,65,70,62,56,60,56,64,57,47,46,50,50,50,52,55,56,46,36,35,38,39,44,38,43,63,67,60,84,42,38,42,40,38,41,39,35,42,38,23,31,18,19,26,48
cine,45,40,77,28,29,30,37,41,40,47,55,54,57,57,54,53,49,47,42,40,39,39,42,44,53,46,48,100,39,44,50,46,53,42,61,69,50,43,43,42,42,49,48,42,43,37,38,53,37,37,39,37,37,44,71,31,29,30,29,29,39,41,45,48,52,51,58,60,57,55,49,41,41,40,40,43,67,54,95,55,44,43,40,38,57,36,36,65,60,42,41,44,48,54,56,43,50,42,43,49,45,37,56,41,37,46,61,29,28,31,31,31,33,43,48,46,48,49,51,51,47,47,53,43,40,37,39,36,54,72,38,45,42,38,35,37,59,38,39,70,58,43,40,43,42,44,51,41,45,42,39,40,52,38,36,33,37,54,61,32,31,31,37,31,27,33,38,45,47,45,50,55,52,49,47,43,41,36,38,61,44,37,38,51,43,44,38,42,53,33,33,61,51,39,39,39,42,39,39,35,35,37,35,38,40,43,41,57,50,49,34,32,33,38,59,32,31,41,43,49,55,59,60,61,59,53,46,42,41,39,39,43,52,50,53,94,42,41,46,40,45,38,38,53,51,36,42,40,39,39,45,36,37,35,20,14,13,19,19,16,16
biblioteca,76,75,74,75,78,79,74,65,62,69,60,52,61,61,58,56,59,58,66,68,75,77,83,81,90,94,91,94,91,85,81,84,86,79,67,83,91,90,87,76,74,76,79,77,80,82,75,71,83,74,75,79,82,77,71,85,77,84,72,61,57,62,57,61,52,56,54,49,48,51,65,68,65,76,81,79,82,90,85,87,84,84,74,81,87,76,68,75,82,100,76,84,73,72,74,79,79,78,76,83,75,75,70,86,77,79,73,78,78,84,79,69,63,59,62,57,54,58,56,55,47,54,64,62,58,71,82,77,80,83,87,76,89,90,80,80,86,83,71,73,73,87,82,70,71,71,71,80,73,68,70,71,75,78,78,71,77,80,75,81,78,77,80,67,63,52,58,54,54,54,53,54,50,51,51,69,64,77,80,78,78,83,83,77,82,78,74,76,81,81,71,82,78,91,80,69,70,68,71,75,67,76,74,76,73,76,72,68,85,85,81,82,74,73,72,73,69,66,72,61,60,54,58,56,56,53,59,66,66,72,76,75,83,82,82,83,83,78,77,70,79,80,71,78,91,90,79,71,76,74,69,78,73,76,69,42,38,36,34,31,47
casino,51,45,46,44,43,51,52,54,59,61,57,58,52,61,64,60,57,57,49,54,51,42,45,51,54,50,56,54,98,55,62,56,45,45,54,58,48,51,50,52,50,56,46,50,58,55,46,53,49,47,53,51,45,54,47,58,52,55,56,59,56,47,52,58,64,57,63,62,66,58,51,54,56,53,51,54,52,53,55,59,58,57,52,57,76,61,51,68,59,54,51,54,56,53,56,53,58,52,53,66,57,51,61,66,53,60,54,56,55,55,57,62,62,57,65,64,66,68,69,74,70,66,67,58,55,60,58,62,66,57,54,53,63,57,70,66,72,60,57,75,67,55,63,60,61,60,62,58,54,58,61,54,70,55,54,55,52,58,56,55,55,59,59,58,56,60,55,59,62,63,67,73,67,71,65,65,64,62,61,64,63,59,59,54,59,65,55,67,71,62,62,79,76,65,60,57,66,58,65,60,65,67,61,65,69,71,65,69,65,65,64,63,66,55,66,63,66,69,73,81,73,96,83,90,96,89,83,81,71,76,77,74,80,68,71,73,71,70,76,73,81,96,90,100,99,81,72,77,73,78,82,78,85,76,67,63,65,64,56,59,60
apuestas,37,33,31,35,29,35,38,34,31,32,30,28,30,27,31,35,37,37,35,35,36,33,34,37,43,34,33,35,35,37,36,36,40,36,100,43,45,33,41,41,37,37,37,42,36,35,35,34,34,36,38,34,34,33,39,30,33,29,29,28,30,29,28,30,26,28,26,26,29,29,31,35,38,34,35,32,32,31,31,34,29,31,31,34,32,30,84,42,44,37,37,35,33,35,34,33,37,45,41,38,35,41,45,39,34,35,39,34,32,37,30,30,31,35,35,34,33,35,32,37,38,44,41,40,46,42,39,40,34,35,34,34,32,34,35,36,38,39,73,45,47,43,44,42,44,41,46,50,42,43,41,41,39,41,41,41,42,46,48,34,37,34,33,40,37,41,38,35,36,31,32,34,38,37,35,36,36,40,38,42,39,35,38,36,35,36,32,35,37,37,68,52,43,54,40,36,41,41,43,42,39,40,41,37,38,39,38,35,37,35,39,43,31,33,36,38,34,33,35,36,36,35,35,36,41,37,38,38,39,42,45,43,42,35,37,38,40,36,35,37,37,42,43,88,47,70,44,36,38,40,40,40,38,36,31,27,8,7,6,6,8
gimnasio,53,61,54,56,52,59,50,52,53,61,56,56,58,58,61,54,63,74,99,84,86,77,74,68,60,62,64,63,58,57,51,51,50,47,43,55,67,70,69,67,63,61,66,66,65,59,56,56,64,66,61,57,61,50,51,56,58,64,56,56,54,53,60,53,74,73,76,56,61,77,100,92,89,79,83,71,65,60,53,61,58,55,50,54,48,48,42,53,68,80,73,64,70,70,64,65,64,71,61,57,64,57,54,58,58,54,53,55,52,59,58,60,62,63,60,61,62,55,65,58,61,66,81,95,80,79,71,72,61,64,58,53,54,53,53,49,50,44,42,50,68,74,62,60,69,59,64,58,57,60,55,58,58,63,59,53,52,55,51,53,49,53,54,54,48,54,55,51,58,52,60,53,54,64,72,89,80,76,77,68,56,52,53,48,56,56,50,52,49,43,44,56,67,73,63,56,65,62,63,60,57,62,60,56,60,54,53,52,55,51,57,51,50,51,59,52,58,59,62,55,59,56,60,57,58,58,75,87,85,78,66,74,64,53,53,54,60,52,54,50,49,49,45,56,63,74,68,59,66,67,62,57,55,64,70,36,30,28,34,32,38
club deportivo,45,46,48,54,54,47,51,50,45,44,48,39,55,39,50,41,57,67,70,74,68,71,59,54,62,57,61,54,53,50,54,53,61,65,46,49,60,67,59,58,51,61,45,52,53,61,60,50,46,49,57,70,57,56,65,71,51,69,57,44,52,44,38,34,50,44,46,47,64,89,76,77,78,100,86,64,86,62,65,61,64,56,69,77,78,50,66,31,60,75,62,59,74,53,73,55,69,77,73,59,63,77,62,65,80,66,83,78,52,59,74,65,97,46,42,40,55,47,52,45,57,77,68,90,78,85,71,57,59,55,78,74,45,45,51,71,67,57,76,30,40,74,70,81,74,65,77,80,77,69,64,57,40,58,59,64,54,54,56,63,53,57,49,52,53,50,42,49,49,52,57,58,61,61,69,59,58,59,69,52,54,57,62,60,56,55,50,49,51,46,44,38,52,54,53,56,66,43,48,51,54,50,49,59,58,54,49,43,60,56,52,58,68,62,57,56,56,64,55,49,52,61,64,56,64,60,64,72,59,64,53,63,49,46,45,48,45,38,47,41,39,49,51,37,49,50,61,70,68,61,68,58,49,47,41,16,16,14,17,17,24
polideportivo,61,57,59,56,53,65,63,57,70,63,63,49,46,46,49,42,44,62,88,95,84,74,83,68,57,62,54,49,57,53,47,42,59,49,46,50,64,53,56,56,52,50,49,56,68,60,45,50,54,58,59,59,52,63,55,65,70,70,69,62,61,58,61,47,46,47,51,41,47,58,86,91,87,82,78,74,58,59,52,63,66,53,51,54,55,51,43,60,57,66,55,55,60,65,54,54,61,59,55,60,62,62,56,55,54,63,63,71,71,67,69,79,75,65,61,48,54,48,49,44,45,55,80,95,87,85,79,75,65,60,58,63,60,63,56,54,58,54,45,55,51,62,62,65,59,56,67,61,53,57,58,60,64,62,62,61,55,62,68,60,65,66,63,67,71,67,57,48,54,46,62,51,45,49,76,100,89,83,82,81,59,56,59,59,60,56,54,54,53,58,52,62,53,58,59,55,57,57,63,64,56,65,56,66,65,57,53,55,64,69,64,67,68,71,72,62,68,73,64,50,55,57,61,53,55,53,63,89,88,81,73,82,67,59,64,62,64,60,62,58,57,57,59,59,60,65,64,62,63,63,59,67,58,62,62,10,12,11,10,8,6
parque de atracciones,28,25,28,27,32,42,36,46,57,48,45,45,43,49,43,52,45,45,35,29,20,20,21,22,25,28,31,18,13,9,9,11,14,8,11,14,8,6,10,11,10,10,9,9,11,12,19,36,24,18,18,20,24,21,20,30,29,39,40,44,55,51,49,42,48,43,49,46,44,42,39,31,23,24,20,23,26,16,32,29,10,8,7,11,19,9,7,15,12,9,7,8,6,8,9,12,12,19,20,16,16,28,47,27,21,30,24,28,29,35,31,35,42,42,38,41,100,40,39,38,40,31,26,29,17,17,20,23,29,20,27,25,11,9,10,10,17,8,10,12,10,7,12,10,11,9,12,13,10,9,13,14,25,13,14,20,23,26,21,24,24,28,30,37,36,43,34,40,42,42,37,41,42,39,35,28,20,21,20,22,23,16,21,28,9,9,10,9,17,9,7,17,16,7,8,10,9,10,11,13,16,14,19,16,16,13,21,31,18,31,21,26,24,31,31,37,39,38,33,32,33,36,36,39,46,39,32,31,15,16,19,24,23,20,23,34,11,8,9,10,14,10,10,19,16,10,9,8,11,11,10,11,14,10,9,3,4,3,4,6,6
