,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
cereales,54,52,45,62,57,52,52,52,52,56,54,58,56,55,50,59,63,62,56,53,61,55,56,63,60,67,63,61,62,61,59,59,50,51,39,45,55,71,64,79,69,70,68,62,61,64,62,61,69,66,67,64,60,62,74,71,59,68,60,54,57,61,56,63,65,57,58,46,56,62,58,61,56,65,54,64,60,75,57,61,68,65,56,63,62,63,52,53,49,66,64,69,75,78,70,81,77,84,73,68,64,73,54,59,73,76,65,65,61,71,56,60,57,64,71,57,54,58,59,55,60,61,61,80,78,80,70,71,75,72,72,58,72,92,84,85,82,75,67,70,62,89,95,84,84,94,79,100,94,88,78,78,82,85,79,75,62,75,61,77,74,71,73,65,58,65,64,70,59,63,58,66,70,79,81,75,68,68,71,69,67,76,79,73,76,72,68,67,71,66,57,68,60,71,85,74,80,69,84,77,71,70,80,74,76,66,74,59,70,57,70,63,68,57,56,73,64,51,61,64,65,49,73,59,61,96,83,74,76,74,72,76,66,59,70,65,65,68,72,62,72,65,58,53,59,59,77,75,77,82,70,75,71,81,71,85,94,88,100,100,85
carne,14,14,14,14,15,15,15,14,14,16,15,13,15,15,15,17,17,17,17,18,19,17,18,19,19,20,39,21,19,19,18,19,20,22,26,28,17,20,19,19,18,20,19,20,17,19,18,19,16,17,17,17,14,17,17,15,15,15,15,15,15,14,15,15,18,16,18,15,14,17,17,15,18,19,18,17,19,19,19,19,21,21,20,20,23,23,28,28,19,20,19,19,20,21,20,18,19,18,18,21,19,18,17,16,17,17,16,17,15,16,16,15,14,15,16,16,16,15,16,16,17,16,17,17,17,19,19,16,19,18,19,20,21,23,19,22,24,22,27,28,19,18,18,18,20,21,19,19,20,19,18,17,20,19,18,16,16,16,15,17,16,16,16,16,16,15,16,17,17,17,17,17,18,19,18,18,16,20,20,19,21,21,20,20,23,22,19,20,22,21,26,31,23,19,19,17,21,19,20,19,19,18,17,19,19,19,18,21,18,18,17,16,17,15,16,16,17,15,16,15,18,16,16,20,28,100,34,27,21,20,19,21,21,21,20,20,22,22,22,19,21,23,25,28,26,18,22,20,22,19,20,20,19,20,17,21,26,27,34,32,35
fruta,37,39,35,39,39,42,42,38,37,41,37,36,40,39,39,40,39,43,38,36,35,37,40,41,40,43,46,41,39,42,37,35,39,43,36,41,39,37,39,39,38,39,38,42,34,36,39,34,36,40,41,36,38,34,38,43,41,39,40,39,47,43,37,36,41,37,38,34,37,42,40,40,39,37,40,43,38,40,42,45,46,45,39,41,41,39,40,44,44,44,42,40,39,41,39,40,37,42,39,38,40,42,39,38,39,40,39,41,46,48,49,46,46,41,40,41,44,42,47,44,44,44,39,41,39,40,41,39,45,52,47,44,46,45,48,38,43,43,39,52,46,40,42,42,38,38,40,40,42,40,38,37,37,43,42,43,42,41,41,43,43,44,45,44,46,39,41,43,43,46,46,44,46,44,45,42,43,44,47,41,45,49,53,44,50,45,43,45,36,42,42,46,46,42,39,38,41,43,42,43,38,38,38,43,42,40,43,42,44,44,42,44,48,45,45,45,42,44,44,44,48,48,47,46,48,47,46,44,46,44,46,48,51,47,49,50,52,50,50,42,41,45,42,43,44,46,42,41,42,70,46,47,43,40,37,69,71,100,96,73,67
verdura,42,35,40,44,34,32,31,26,31,35,33,24,40,33,36,30,39,40,35,37,37,38,38,35,45,41,44,41,46,45,38,40,31,47,39,41,39,42,54,61,50,43,47,47,45,50,39,37,59,42,45,47,48,39,45,41,39,37,35,39,29,33,31,33,35,30,34,31,28,41,40,37,45,36,41,46,44,45,36,35,47,51,48,37,46,40,35,40,39,55,53,54,55,53,51,50,51,44,42,46,54,49,37,47,48,48,41,43,43,44,41,35,35,34,34,35,38,38,35,38,36,44,44,44,45,39,40,41,46,39,45,43,44,45,46,41,42,44,35,48,46,58,59,54,61,54,54,56,52,45,45,50,46,47,52,53,52,51,43,39,46,38,41,39,39,34,37,38,36,37,40,46,36,45,44,43,45,40,42,44,42,48,49,48,55,49,40,50,35,40,38,39,51,62,63,56,49,49,48,54,50,47,50,48,52,49,48,38,46,46,51,46,43,36,38,36,43,40,36,36,32,36,43,41,41,38,40,49,40,51,46,47,39,46,46,44,52,52,57,44,42,46,39,47,43,48,63,55,58,62,55,57,50,53,52,67,85,89,100,90,90
bebidas,56,62,64,63,53,57,54,57,64,55,64,67,66,53,60,68,61,59,51,63,55,43,53,54,49,59,51,48,51,48,49,51,46,57,49,54,40,50,49,51,42,59,54,60,47,51,50,45,53,51,54,60,54,64,54,57,55,54,65,69,63,63,64,65,65,58,62,65,63,68,64,61,56,60,59,46,56,44,49,56,42,47,41,70,65,54,58,62,46,53,39,50,51,51,56,61,44,54,54,60,57,62,58,55,60,100,62,59,61,65,66,65,62,57,60,68,71,73,66,68,65,62,47,49,52,43,44,41,51,43,48,45,43,49,54,49,42,57,52,58,35,51,55,54,49,49,54,46,40,48,46,49,50,54,49,51,60,53,60,51,61,52,57,66,59,66,62,71,73,71,78,83,69,66,63,68,54,49,44,51,51,48,54,42,47,55,45,51,43,48,49,64,55,51,47,47,49,53,48,54,47,59,58,62,59,50,57,57,47,49,53,61,55,59,53,56,61,67,68,68,56,61,60,69,65,62,55,59,45,59,48,49,53,53,57,52,47,39,42,43,49,51,51,57,51,45,48,49,44,54,49,58,54,53,47,41,46,54,59,59,46
leche,27,28,25,28,26,28,28,27,26,25,29,29,27,28,32,32,33,34,30,30,33,32,29,29,30,30,29,30,29,30,32,26,33,30,31,31,28,33,30,32,33,34,35,33,33,35,39,45,36,31,32,29,30,29,30,31,25,29,28,28,31,27,28,27,27,28,29,29,29,31,31,29,28,28,29,27,29,30,30,32,29,33,31,32,35,31,35,39,32,35,35,37,36,37,35,38,34,37,35,36,39,39,45,36,33,34,33,37,31,33,31,32,31,32,28,32,33,32,31,32,34,34,31,33,29,31,33,32,34,33,33,33,36,34,33,35,36,33,34,35,30,33,38,35,36,36,34,37,36,35,38,39,51,39,34,32,32,37,30,30,33,31,32,33,30,31,33,32,35,37,34,32,34,34,34,31,31,32,31,32,34,36,33,38,38,35,32,34,34,35,34,39,35,31,35,32,36,35,36,36,34,34,32,39,37,38,40,49,37,30,31,31,31,30,30,32,30,28,29,30,29,33,31,31,35,35,34,31,33,32,33,32,34,32,34,35,34,35,35,31,33,32,33,38,40,34,34,35,37,37,35,35,36,36,33,45,55,65,100,72,74
tabaco,57,54,58,64,57,75,61,61,57,65,55,56,63,52,73,57,69,69,63,61,57,75,62,56,68,67,71,64,61,63,57,62,60,53,54,60,66,78,76,74,66,63,68,70,66,73,63,71,72,65,64,57,67,59,60,68,77,89,74,58,70,56,57,57,67,68,56,71,66,71,68,68,64,67,76,71,71,78,71,77,72,74,66,88,85,80,75,76,70,76,79,86,68,66,74,64,67,61,72,74,81,67,71,57,64,66,57,57,59,84,66,64,67,61,59,70,71,69,77,84,77,76,72,69,71,68,72,65,69,66,66,74,73,71,70,65,78,58,57,56,58,66,63,65,76,58,70,64,61,72,73,63,66,71,60,60,63,53,67,72,70,79,70,65,54,54,65,59,69,65,76,85,70,83,71,70,70,75,77,67,67,59,63,58,66,76,68,61,62,71,56,64,63,68,70,62,70,73,60,63,70,63,73,72,71,74,79,67,72,65,70,69,76,77,73,72,64,66,61,65,70,76,88,83,91,79,69,83,76,70,71,80,80,64,78,70,68,66,61,68,62,63,62,66,74,76,71,66,68,74,67,85,88,72,93,99,100,100,82,88,79
café,57,40,52,50,47,45,43,39,39,37,35,46,51,57,39,51,40,47,40,37,42,48,51,50,53,43,42,35,50,56,37,40,52,42,36,41,39,45,51,51,52,57,36,58,53,36,38,47,41,37,52,39,45,42,40,42,50,58,46,34,41,34,39,43,50,48,37,39,34,50,52,55,52,56,43,47,47,49,46,48,39,59,48,46,49,55,48,39,59,52,52,45,48,52,54,38,43,40,50,51,52,56,50,54,53,58,53,59,61,52,53,49,45,52,55,65,67,64,55,62,52,51,65,71,53,52,64,56,53,51,63,61,70,54,57,68,69,69,54,82,60,59,71,60,68,67,52,65,68,58,65,69,83,67,64,63,55,60,56,61,71,64,72,58,65,48,57,60,61,70,66,74,68,72,77,70,74,74,61,73,73,64,75,78,79,85,67,73,76,78,60,85,71,73,77,68,73,78,84,80,65,74,99,79,91,75,80,71,70,68,78,76,74,80,75,79,83,75,84,76,74,88,88,88,96,94,89,79,78,86,78,83,83,83,80,86,78,70,79,83,87,95,89,93,93,77,81,86,97,86,100,83,85,91,62,55,67,72,87,97,84
mariscos,21,20,15,18,22,22,22,16,18,19,23,22,28,23,26,30,30,28,23,21,17,18,19,18,18,19,25,21,24,25,37,36,39,57,92,72,25,18,20,23,23,19,19,23,23,19,23,18,28,15,21,17,21,17,13,22,19,21,24,16,19,17,25,22,24,26,30,33,22,30,19,20,22,21,21,27,23,23,22,29,29,29,27,37,48,58,93,83,34,24,17,18,19,22,18,26,22,22,19,18,21,24,27,11,21,25,25,21,28,20,22,24,21,17,18,25,22,21,28,30,35,30,19,25,19,21,19,25,30,17,21,29,27,31,35,36,57,52,100,94,26,25,22,19,21,24,28,19,19,16,25,23,28,13,27,24,24,16,23,21,16,26,23,27,20,20,23,22,28,26,32,33,33,32,29,20,20,16,25,18,24,21,26,26,29,32,27,33,47,56,86,94,65,16,19,18,21,19,24,22,22,24,22,26,20,20,21,22,21,22,26,21,24,17,27,21,23,26,26,28,24,30,32,31,31,30,37,24,22,26,24,21,25,25,23,25,27,27,27,32,38,54,75,88,63,18,17,23,21,20,22,21,19,16,22,16,16,19,29,29,25
ropa,75,74,77,70,69,74,70,68,68,71,68,66,66,68,67,74,77,80,83,86,83,82,80,84,88,87,82,81,81,83,94,87,89,83,77,91,96,85,85,83,79,82,81,87,84,87,80,82,88,85,84,82,82,78,82,83,80,80,79,74,68,71,76,72,69,71,71,68,68,75,80,79,84,80,82,85,92,89,84,84,93,87,93,88,92,85,78,91,94,92,88,86,84,83,80,81,82,85,83,84,89,82,84,83,77,79,80,81,79,78,78,75,74,79,79,77,74,73,71,75,73,76,85,86,90,85,83,77,80,83,80,84,95,95,98,94,98,89,82,90,84,95,87,84,85,91,84,83,83,80,80,83,87,86,84,86,80,84,79,74,77,76,78,78,73,76,77,73,71,69,73,71,74,78,83,84,83,81,79,83,89,86,90,95,94,92,100,92,88,87,86,92,94,97,86,78,86,83,79,81,83,79,82,82,87,84,84,77,82,82,85,80,81,78,75,77,74,77,80,76,74,75,75,76,74,78,83,81,86,83,86,84,80,85,95,87,91,93,94,100,92,93,88,88,95,91,89,83,83,82,81,81,78,82,59,49,52,55,70,73,83
