,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
abogados,66,82,71,70,73,72,73,74,73,69,75,73,81,67,46,41,44,51,69,77,76,72,69,80,68,82,76,74,80,78,80,76,60,75,58,55,60,71,74,76,84,76,85,76,73,70,72,47,69,69,78,72,79,70,72,74,69,77,76,70,94,68,65,64,65,59,47,37,34,41,54,75,62,74,66,75,68,78,68,59,74,68,68,74,49,74,71,70,56,93,82,100,86,94,85,73,74,88,80,80,78,82,56,73,66,64,75,60,76,77,77,75,79,71,69,75,70,64,52,40,37,37,50,74,73,72,77,64,57,69,74,67,75,77,73,65,46,70,60,42,47,68,77,73,69,81,71,73,78,70,75,70,46,63,68,67,66,61,67,68,68,70,64,68,68,63,62,67,63,73,54,39,33,40,51,73,67,75,71,68,66,71,67,61,75,72,63,71,69,73,58,45,43,61,72,69,70,75,67,83,71,77,80,77,73,80,75,46,60,49,67,72,62,62,68,73,66,65,70,65,64,53,53,48,37,43,41,68,63,76,69,73,72,67,69,58,68,68,66,66,61,72,67,50,43,61,68,74,77,81,75,73,69,81,61,40,39,43,44,41,41
contadores,56,71,64,66,56,70,65,76,68,64,68,44,76,57,57,54,57,45,57,53,64,55,96,71,60,87,75,63,65,71,82,54,69,71,46,31,51,78,84,81,80,80,64,78,50,71,75,26,60,80,66,52,61,61,65,64,81,67,58,54,61,58,45,41,48,55,47,55,42,66,48,59,52,53,59,71,52,71,73,73,72,63,68,53,50,76,58,50,44,68,85,100,75,81,73,70,66,66,66,80,68,41,49,52,43,52,47,48,49,49,48,40,50,46,51,37,49,31,55,36,31,38,38,46,40,37,61,51,48,58,53,49,72,50,48,59,50,46,41,43,42,50,67,50,67,59,63,57,53,69,70,56,41,42,43,46,47,31,50,49,37,41,39,50,42,31,42,43,46,42,47,37,38,37,36,43,36,58,38,36,42,43,40,36,56,59,44,50,26,38,33,25,39,44,49,45,50,42,45,42,36,49,35,39,36,45,48,39,32,24,42,40,35,33,43,48,40,46,32,41,24,27,25,35,33,18,32,28,40,38,44,44,37,39,46,40,30,37,50,35,36,38,41,28,27,44,32,63,40,44,49,39,35,43,45,18,21,22,19,21,27
auditoria,44,46,44,52,52,64,46,48,40,49,42,31,50,49,30,21,15,39,36,48,52,69,69,77,48,39,54,66,69,44,47,46,46,49,47,26,25,44,38,45,34,53,67,56,56,53,59,21,53,66,60,49,40,45,55,45,57,41,56,41,30,100,40,33,32,29,27,26,14,29,28,39,60,64,58,90,41,50,46,38,56,43,35,52,36,58,61,38,27,50,38,49,43,40,30,44,53,36,64,41,56,39,38,33,43,40,40,57,54,38,47,49,43,38,39,39,45,43,33,16,24,30,27,33,38,49,61,48,54,46,52,36,37,32,41,45,33,49,32,26,21,57,45,35,41,61,50,43,38,54,44,53,35,43,46,43,35,23,47,43,52,44,35,30,30,55,40,40,35,21,17,19,22,9,30,29,29,36,28,58,30,52,51,18,48,52,47,35,26,45,42,20,18,37,48,41,41,39,27,55,34,32,56,42,45,41,47,31,28,32,45,42,44,41,45,41,48,28,23,53,40,27,26,21,13,18,17,34,39,30,46,39,38,28,49,27,46,51,49,49,39,40,35,17,18,28,40,48,34,41,51,48,30,38,28,23,26,25,24,32,29
fiscal,39,32,31,32,30,28,31,31,27,29,29,26,25,24,19,15,16,15,18,23,24,22,24,30,21,27,30,25,29,25,29,28,23,28,20,19,20,37,28,28,28,27,28,29,29,27,29,17,22,43,41,38,31,33,30,30,31,33,30,29,29,28,23,21,22,20,14,14,13,18,18,22,22,23,24,24,23,29,26,25,29,29,29,30,23,29,24,20,17,29,32,28,30,27,38,41,33,30,30,30,33,32,26,35,40,35,37,32,33,49,40,30,29,28,31,28,25,23,20,16,13,17,16,22,23,25,30,51,45,40,36,34,36,87,100,51,23,33,25,24,21,27,33,30,30,28,25,28,24,23,24,28,20,30,29,30,29,27,32,29,28,30,33,33,28,29,22,23,29,25,20,16,17,17,20,19,21,24,25,25,23,32,26,24,25,27,23,25,19,23,22,17,18,26,26,26,28,25,33,31,32,29,28,29,32,32,34,23,31,24,29,28,31,30,30,30,28,30,21,23,23,20,20,14,16,20,19,21,20,23,24,23,25,24,26,25,30,27,26,27,26,24,26,19,19,25,50,29,30,27,28,28,28,25,20,20,28,34,28,30,18
asesoria,62,86,93,92,74,84,78,78,77,81,71,78,73,61,56,50,42,53,73,70,65,70,77,80,65,66,72,78,75,67,64,65,56,68,42,48,58,81,67,64,71,73,82,84,75,66,74,49,75,77,84,90,74,80,89,89,82,97,78,77,79,81,86,74,77,62,44,46,44,56,63,60,72,70,79,80,64,74,75,64,66,73,74,67,55,80,57,55,52,76,74,73,65,88,89,79,73,79,78,73,83,76,63,80,79,76,100,78,89,92,86,89,91,89,74,66,65,66,59,47,38,45,56,70,67,72,64,68,66,68,65,54,65,64,64,70,42,70,63,53,43,66,68,73,70,79,76,80,69,75,69,70,43,74,77,74,75,52,87,78,85,77,89,79,84,84,73,67,70,60,50,47,39,54,54,67,72,68,76,73,56,63,65,45,63,61,71,67,49,56,61,41,53,66,67,68,71,75,75,73,65,64,82,68,68,81,76,48,71,68,84,80,80,90,90,75,82,75,58,66,64,49,54,39,42,49,52,65,66,71,70,77,70,61,64,55,65,70,62,59,46,57,55,40,43,63,71,62,72,71,74,69,69,70,58,58,62,78,49,66,25
seguridad privada,88,84,55,62,68,78,86,82,72,79,70,72,83,64,68,62,57,53,83,66,85,90,68,67,80,72,80,70,82,68,84,71,53,73,66,55,66,72,91,89,64,76,80,61,87,87,69,58,65,57,72,58,74,66,76,67,63,64,69,76,68,73,83,64,57,55,57,64,39,58,50,78,72,67,56,75,70,56,83,77,88,69,81,69,82,81,80,70,73,79,78,80,65,56,60,74,81,69,78,70,61,73,65,64,94,69,69,75,89,75,59,79,88,100,75,63,71,76,56,72,47,60,65,75,72,85,74,70,65,64,84,59,77,84,67,64,52,65,47,52,56,82,94,67,74,65,70,65,77,74,62,73,54,65,56,70,49,68,61,82,83,85,70,59,65,46,69,74,68,65,56,49,43,54,58,57,70,55,69,62,63,60,65,58,54,46,60,67,80,65,43,60,51,70,65,58,70,61,70,61,66,72,70,77,82,62,59,41,59,51,67,60,73,56,81,66,66,70,58,75,77,68,59,47,49,47,47,66,61,62,70,67,68,62,49,67,65,72,58,61,50,58,59,45,35,64,69,47,64,63,64,65,47,71,58,53,60,53,37,46,27
investigacion,69,53,68,65,52,60,55,52,38,39,46,53,37,35,29,32,34,35,37,43,50,61,70,69,52,60,52,61,53,74,63,61,60,63,44,45,50,57,59,60,58,57,66,53,61,60,56,43,53,58,60,55,54,55,54,57,54,59,44,45,49,49,38,32,44,43,26,28,31,33,43,40,58,53,59,59,55,59,63,50,57,53,53,46,56,55,48,39,40,66,61,59,68,57,57,55,50,53,57,53,60,59,47,46,53,45,65,58,62,58,45,51,48,44,38,37,36,33,32,24,30,45,35,45,44,55,50,44,42,45,50,45,44,51,47,56,33,48,40,41,38,47,58,54,45,47,52,47,43,44,57,56,33,38,49,53,47,46,43,53,50,53,48,36,40,39,34,37,34,28,30,28,31,30,35,42,46,48,54,54,43,55,52,41,42,40,46,54,47,43,50,32,34,42,45,61,100,73,60,45,51,49,51,45,40,40,37,29,34,39,42,43,42,36,32,44,39,39,38,32,31,37,39,23,29,26,27,35,34,38,43,42,52,40,51,40,40,44,48,40,39,34,41,25,29,35,43,42,48,39,43,46,47,36,40,40,43,44,38,36,30
servicio limpieza,31,36,47,31,46,42,26,100,44,22,45,17,51,44,40,35,41,28,51,31,54,48,43,48,49,42,42,37,19,38,33,43,25,20,11,23,33,31,26,31,32,21,56,46,21,10,37,65,28,46,31,35,43,21,41,39,32,43,38,38,29,34,18,42,73,25,20,27,35,66,54,23,52,34,39,60,11,38,22,68,22,50,46,36,43,53,28,19,34,26,40,46,34,74,44,25,38,55,29,20,35,46,29,36,62,36,20,37,37,47,47,38,21,27,34,34,77,16,48,11,35,33,36,52,25,35,24,58,30,19,38,24,39,39,28,28,36,20,20,17,36,42,42,32,37,32,42,23,27,36,41,28,36,37,57,36,36,19,27,55,37,31,18,52,52,28,51,47,33,19,49,38,35,20,57,59,45,50,62,32,46,31,41,37,39,18,51,54,52,33,28,43,5,27,44,33,34,45,13,45,40,23,27,32,64,44,26,47,35,53,39,57,39,38,13,21,18,55,32,44,9,32,33,66,19,79,53,46,58,37,37,62,37,37,48,28,60,47,23,38,33,46,36,23,31,33,41,15,35,43,35,50,34,37,39,42,77,80,25,20,50
convencion,45,58,41,29,29,33,39,39,30,38,29,34,25,22,15,23,21,29,41,44,34,60,57,51,64,93,85,76,73,66,68,52,54,40,27,23,34,53,53,43,44,57,51,53,47,62,42,29,50,53,58,48,46,52,44,40,50,47,43,38,42,38,34,23,30,45,34,23,17,22,29,58,40,53,66,51,47,60,64,60,57,69,51,42,49,60,30,37,36,56,54,56,45,57,51,39,47,48,47,56,40,36,37,66,45,43,52,46,51,53,62,38,26,23,25,25,27,24,13,22,17,24,19,32,36,34,43,50,30,59,42,55,63,49,52,53,40,46,20,30,19,41,39,34,55,36,43,56,47,61,38,51,24,64,64,42,34,41,34,37,44,37,38,56,36,21,29,16,31,31,13,16,23,23,29,17,42,50,50,47,41,69,36,39,48,55,41,43,31,40,29,17,19,31,100,51,45,38,38,30,34,40,30,38,31,34,26,18,30,33,34,33,53,29,25,23,36,24,17,25,23,21,16,19,21,22,25,22,36,19,40,37,55,42,49,43,47,53,55,45,39,31,26,23,20,28,35,43,34,27,29,35,29,40,24,15,22,28,24,21,13
feria,52,43,45,31,41,46,33,24,23,21,23,26,29,28,37,49,53,43,43,47,37,36,37,36,36,26,21,24,21,20,16,18,19,12,12,14,14,18,20,19,23,23,25,28,29,29,28,25,37,51,82,51,48,45,40,40,44,45,30,22,20,20,23,25,27,31,34,44,56,40,43,50,41,39,42,38,39,27,24,25,23,21,18,20,21,12,10,11,15,16,17,19,21,20,21,25,28,30,29,29,36,30,29,52,71,96,50,50,49,42,35,23,22,22,23,26,27,31,33,49,58,40,40,48,42,35,39,32,38,28,27,25,25,20,17,18,27,13,11,12,13,15,20,21,20,20,21,29,28,27,28,25,26,45,63,100,56,57,47,41,45,44,37,25,20,22,23,27,30,32,35,49,62,45,43,47,43,39,38,38,38,28,24,25,22,23,16,15,26,15,12,15,15,17,17,19,21,20,21,25,29,29,31,31,33,35,34,29,56,81,92,55,41,49,46,38,28,25,27,30,28,32,37,45,67,61,43,45,46,38,38,42,43,32,23,25,21,22,18,16,25,19,13,14,16,16,17,18,20,24,23,23,28,29,20,9,7,7,7,9,12
